FOXC1,ROPN1,RGMA,CA6,TTYH1,SCRG1,SFRS13B,CSN3,RABEP1,TMCC2,C6orf97,ERBB2,CCNE1,SLC39A6,SOX8,RLBP1,RGR,LOC93432,OLAH,HORMAD1,CCKBR,FAM171A1,B3GNT5,MIA,NCAN,EPHB1,KDM4B,FZD9,FSIP1,HAO1,GRB7,ROPN1B,HAPLN3,HRCT1,NCRNA00092,PTCHD1,SMR3B,TLE3,APH1B,FSCN1,GPR77,STARD3,CHRDL2,CRYAB,C1orf94,NRTN,MATN4,SLC25A18,STC2,TBC1D9,C6orf211,CMTM5,CA12,CLCN4,ACBD4,CSN2,C11orf75,MAGEB4,C2orf88,XBP1,EVL,FAM19A3,MLPH,TTLL4,CARD18,C10orf90,CAMKV,PGR,FAM150A,PRSS33,FOXA1,GFRA3,CLDN6,ANKRA2,C9orf170,MID1,PAPL,FAM150B,LEMD1,UCN3,YBX1,PSAPL1,SPHKAP,LOXL4,MOG,IL34,ATP6V1C2,WWP1,CTXN3,KCNK5,GPM6B,KRT20,PARD6B,TTC8,DLX6,TPRG1,CELSR1,IFRD1,NAT1,KIAA1370
H,H,H,H,H,M,M,H,EL,M,EL,EH,H,EL,H,H,H,H,H,M,M,H,H,EL,H,EL,EL,H,L,H,EH,H,L,EH,L,M,H,EL,EL,M,L,EH,M,L,EH,H,EH,EH,L,EL,L,M,L,M,EL,EH,H,H,M,L,EL,H,L,M,EH,L,H,L,EH,M,L,M,L,EL,H,EH,H,H,M,EH,EH,H,M,H,H,L,L,EL,EH,L,EL,H,EL,L,M,M,EL,M,L,L
M,M,M,H,H,M,M,H,EL,M,L,EH,H,M,L,H,H,H,H,L,H,L,H,H,H,M,M,M,M,H,EH,EL,H,H,L,L,H,M,L,M,M,EH,L,M,H,L,L,EH,L,L,L,EH,M,M,EL,EH,M,H,L,L,M,M,L,H,EH,L,H,L,EH,M,M,H,L,L,M,M,H,L,M,EH,EH,H,H,EH,H,H,M,L,H,H,EL,EH,EL,M,M,EL,M,L,H,L
M,EL,M,H,H,L,L,H,L,H,M,EH,L,EL,H,H,H,H,H,L,M,H,M,L,M,H,EL,M,L,H,EH,EL,EH,H,H,EH,H,L,L,H,M,EH,H,H,H,EL,M,H,EL,L,EL,M,M,H,L,EH,H,H,H,L,L,M,L,M,EH,M,H,L,EH,H,L,L,L,EL,M,EH,L,H,M,EH,H,H,H,H,H,H,L,H,EH,M,M,H,EL,L,M,L,M,M,M,L
EL,M,M,H,H,EL,EL,H,EL,M,EL,EH,H,EL,H,H,H,H,H,H,M,H,H,L,L,H,EL,H,EL,H,H,L,H,H,H,H,H,EL,EL,L,L,EH,EL,H,H,L,H,EL,EL,EL,EL,M,EL,M,L,EH,H,H,EH,L,EL,EL,L,M,EH,EL,EH,L,EH,H,L,EL,M,EL,H,EH,L,EH,M,EH,H,H,M,L,EH,H,H,EL,H,H,L,H,EL,EL,M,M,EL,EL,EL,EL
M,EL,EL,H,L,L,L,H,L,EL,L,EL,M,M,EL,H,H,H,H,H,M,EL,M,M,L,EL,EL,M,L,H,EL,L,H,L,L,H,H,EL,M,EL,L,EL,L,L,H,M,M,EH,EL,L,M,M,L,H,L,EH,M,EH,M,L,EL,EL,L,L,EH,EL,M,M,EH,H,L,L,L,L,L,M,H,H,M,EH,EL,H,H,H,H,EL,EL,M,H,EL,EL,EH,M,L,M,EL,L,L,M,L
EL,M,M,H,M,L,H,EH,M,M,M,EH,H,M,EH,H,H,H,M,EH,M,H,M,M,M,M,L,M,M,EH,EH,H,H,M,M,H,H,L,M,L,EL,H,M,L,H,L,H,EH,EL,M,M,M,M,M,EL,EH,EH,H,H,H,M,H,M,M,EH,L,M,L,EH,M,H,EL,L,H,M,M,L,M,H,EH,M,EH,H,M,H,M,EH,M,H,M,H,H,M,M,L,EL,H,M,L,H
L,EL,L,H,H,L,L,H,L,L,L,L,M,L,EH,EH,H,H,M,L,M,M,M,EL,L,L,L,L,EL,H,EL,EL,H,L,M,H,H,L,L,M,L,L,M,L,H,M,L,EH,EL,L,EL,M,M,H,EL,EH,EH,H,H,M,EL,EL,L,M,EH,L,H,L,EH,M,L,L,EH,L,M,H,H,H,M,EH,M,H,M,M,EH,L,EH,L,H,L,L,H,EL,L,L,EL,M,M,L,M
L,M,H,H,H,H,L,H,M,M,L,EH,H,L,EL,H,H,H,M,M,M,H,M,H,L,EL,L,L,L,H,EH,H,M,H,L,H,H,L,EL,L,L,EH,M,M,EH,EL,H,EH,EL,M,H,M,EL,L,EL,EH,H,H,H,M,EL,L,H,EH,EH,EL,H,EL,EH,M,M,H,M,EL,M,H,L,H,M,EH,EH,H,H,M,H,H,H,M,H,L,H,EH,L,L,M,EL,L,M,L,M
EL,M,L,H,H,M,L,H,M,H,M,EH,M,L,EL,H,H,H,H,M,EH,L,EL,M,EH,M,M,M,M,H,EH,H,M,H,L,M,H,L,M,H,EL,EH,L,M,H,L,L,EH,L,M,L,EH,M,H,L,EH,L,EH,L,L,L,EL,M,H,EH,L,H,L,EH,M,M,H,EH,M,M,EL,L,L,M,EH,L,H,M,H,H,M,M,L,H,EL,M,EH,L,M,H,EL,M,M,M,M
M,EL,L,H,L,H,EL,H,M,M,M,EL,L,L,M,H,H,H,M,L,EH,M,EL,L,L,M,L,H,M,H,EL,H,M,EL,L,L,H,L,L,H,L,EL,M,H,H,EL,H,EH,L,L,L,H,M,M,EL,EH,M,H,EL,L,M,EH,M,EL,EH,H,M,L,EH,M,M,H,H,M,L,M,L,L,M,EH,L,H,M,EL,H,L,H,L,H,L,H,EH,L,M,H,L,L,L,H,H
H,M,M,H,M,M,L,H,EL,M,EL,H,EH,EL,L,H,H,H,H,L,EH,H,H,EL,L,L,L,H,M,H,H,L,EH,M,H,H,H,L,L,L,L,H,L,H,EH,EL,EH,EH,L,EL,M,M,M,M,EL,EH,H,H,EL,H,EL,L,M,H,EH,L,H,EL,EH,H,M,H,L,L,H,H,H,H,M,EH,H,H,M,EL,EH,EH,H,M,EH,M,M,EH,L,M,M,M,M,EH,M,L
H,M,H,H,M,H,EL,H,EL,M,M,EH,H,M,L,H,H,H,M,H,H,M,M,M,L,H,L,M,M,H,H,EL,H,L,M,L,H,M,M,H,M,EH,H,M,H,L,M,EH,L,M,L,M,M,H,M,EH,H,H,M,L,EL,M,L,H,EH,M,M,L,EH,M,L,H,H,M,H,M,L,H,M,EH,M,H,M,EH,H,M,L,EL,H,M,M,EH,EL,H,L,L,L,L,M,M
M,M,M,H,M,H,L,H,L,M,L,EH,M,EL,M,H,H,H,M,H,M,M,M,M,M,M,EL,H,L,H,EH,H,H,H,H,H,H,EL,EL,EL,L,EH,M,H,H,EL,EH,M,EL,M,L,M,EL,L,EL,EH,H,H,H,L,L,EL,L,L,EH,M,EH,L,EH,M,L,H,EH,L,L,M,M,H,H,EH,L,H,M,H,H,H,H,M,H,H,M,H,EL,L,M,L,L,EH,L,M
M,M,H,H,H,M,M,H,L,H,M,EH,M,M,M,H,H,H,M,H,M,H,H,L,M,H,M,H,L,EH,EH,H,H,M,M,H,H,M,L,H,M,EH,EL,M,H,EL,H,EH,EL,M,M,M,M,H,L,EH,H,H,H,H,H,L,M,H,EH,L,H,M,EH,H,H,H,M,H,L,H,L,L,M,EH,M,H,EH,H,H,H,M,M,H,M,H,EH,M,L,L,EL,M,M,M,L
L,H,L,H,L,L,L,H,L,L,L,EH,M,L,M,H,H,H,M,H,M,L,L,L,M,M,M,M,EL,H,EH,EL,M,M,M,EH,H,L,M,M,H,EH,M,EL,H,L,L,EH,EL,L,EL,M,M,M,L,EH,H,H,EL,M,EL,M,L,M,EH,EL,M,L,EH,H,L,M,L,L,M,H,L,M,M,EH,M,H,M,L,H,M,L,L,H,M,L,H,M,L,L,M,M,EL,L,M
H,M,L,H,M,M,H,H,H,M,M,EH,H,M,L,H,H,H,H,L,M,M,L,H,H,M,L,EL,L,H,EH,L,H,EL,M,L,EH,H,M,EL,M,EH,EL,M,EH,M,H,H,L,EH,H,EH,H,L,M,EH,M,H,M,EH,M,L,H,M,EH,H,M,M,EH,H,M,L,L,M,L,L,H,M,H,EH,M,EH,H,M,H,H,M,M,EH,M,L,H,H,L,M,L,M,L,M,H
H,H,M,H,M,M,EL,H,EL,EL,M,L,M,L,H,H,H,H,H,H,H,EL,H,M,H,H,EL,H,L,H,EL,M,M,L,L,M,EH,EL,L,L,EL,EL,M,M,H,H,L,EH,M,M,L,M,L,L,EL,EH,M,H,M,L,EL,L,L,EL,EH,H,M,M,EH,H,L,L,H,EL,M,H,L,L,H,EH,M,EH,EH,M,H,M,L,EL,H,EL,L,EH,EL,EL,H,M,L,M,M,M
M,M,M,H,M,EL,M,H,EL,L,EL,EH,M,EL,L,H,H,H,M,L,M,M,H,M,L,L,EL,M,M,H,EH,M,H,L,M,M,H,L,L,M,EL,EH,M,M,H,M,M,EH,EL,L,L,M,L,M,EL,EH,M,H,M,M,L,M,L,L,EH,H,M,L,EH,M,L,H,H,EL,M,M,M,H,M,EH,EH,H,H,H,H,M,M,EL,EH,L,L,H,EL,EL,H,L,EL,EL,EL,EL
H,EL,H,EH,M,EH,M,H,M,H,L,EH,M,M,H,H,H,H,M,EH,EH,H,H,H,H,H,L,H,M,EH,EH,L,H,H,H,H,H,L,M,H,M,EH,H,EH,EH,M,L,EH,EL,M,L,M,M,H,L,EH,H,EH,H,M,M,M,M,EH,EH,M,H,M,EH,M,L,M,EH,M,M,H,EH,H,H,EH,H,EH,M,EH,H,EH,L,L,H,H,M,EH,EL,L,H,L,L,M,L,H
M,M,M,H,L,H,H,H,EL,EL,EL,EH,H,L,EL,H,H,H,H,H,M,EL,EH,M,EH,L,EL,H,L,H,EH,M,M,H,M,H,H,EL,EL,EL,EL,EH,EL,EL,H,EL,M,EH,L,M,L,M,L,EL,EL,EH,EH,H,EL,M,L,L,M,H,EH,EL,M,EL,EH,M,M,H,H,M,EH,EH,L,H,M,EH,EH,H,M,EL,EH,L,H,M,H,H,L,H,L,M,L,L,EL,H,M,M
H,H,EL,H,L,EL,H,H,L,H,L,H,H,M,L,H,H,H,H,L,M,L,EH,L,M,L,M,H,L,EH,EH,EL,M,EL,M,M,H,M,L,M,EL,EH,L,L,H,L,H,H,EL,L,M,M,L,H,L,EH,H,EH,L,L,EL,H,L,M,EH,L,M,EL,EH,H,L,H,L,L,L,EL,EH,EH,M,EH,L,H,M,L,H,EL,H,L,H,M,L,EH,EL,L,L,H,H,H,M,L
L,M,H,H,M,M,L,H,M,L,L,EH,H,EL,M,H,H,H,M,H,M,L,EH,EL,H,M,EL,H,M,H,EH,L,H,EH,L,M,H,EL,L,L,EL,EH,M,EH,EH,EL,M,EH,M,L,EL,M,L,EH,EL,EH,EH,H,EH,EL,L,L,L,H,EH,L,H,L,EH,M,L,EH,M,L,H,H,H,L,H,EH,H,H,M,M,H,H,EH,EL,H,M,M,EH,L,L,M,EL,EL,EH,L,M
H,H,M,H,H,H,M,H,L,H,M,EH,M,M,H,H,H,EH,M,L,H,H,M,H,H,H,L,L,H,H,EH,H,H,M,M,H,H,H,H,H,L,EH,L,H,H,EL,M,EH,L,M,L,EH,M,H,L,EH,M,H,H,L,EL,L,M,H,EH,EH,M,M,EH,H,L,EL,L,H,M,M,L,H,M,EH,M,EH,H,H,H,H,L,M,H,H,M,EH,EL,M,L,L,M,EH,M,H
M,EL,L,H,M,H,EL,H,L,EL,L,EH,L,L,EL,H,H,H,M,L,H,M,M,EL,L,L,EL,M,EL,H,EH,M,EL,M,L,H,H,EL,L,EL,M,EH,EL,EL,H,EL,L,EH,L,M,M,M,M,H,EL,EH,L,H,EL,H,L,H,M,L,EH,L,M,EL,EH,M,M,M,M,M,M,H,H,L,M,EH,EL,EH,H,L,H,L,H,M,H,L,EL,EH,EL,L,L,L,M,L,M,H
H,M,H,H,H,M,L,H,EL,M,L,EH,M,EL,M,H,H,H,M,L,H,M,H,H,L,H,EL,H,M,H,EH,M,M,EL,M,H,EH,EL,EL,M,EL,EH,L,H,H,L,L,EH,L,L,L,M,EL,EH,EL,EH,M,H,H,L,EL,EL,M,M,EH,H,M,L,EH,H,M,L,L,EL,H,EH,M,M,H,EH,H,H,EH,M,H,H,H,M,H,H,H,H,L,L,M,M,L,L,L,L
L,M,EL,H,EL,EL,EL,H,EL,EL,EL,EH,H,EL,EL,H,H,H,M,L,M,L,EL,L,L,M,L,L,L,H,EH,EL,L,EL,H,M,H,EL,EL,L,EL,EH,M,L,H,EL,M,M,EL,L,EL,M,M,M,L,EH,L,H,L,L,EL,M,L,EL,EH,M,M,EL,EH,M,L,EL,L,L,H,H,L,L,M,EH,L,H,M,EL,EH,EL,EH,EL,H,L,EL,H,EL,M,L,L,EL,H,L,M
M,H,M,EH,EL,L,H,H,M,H,L,EH,EH,L,L,H,H,H,M,H,M,M,H,L,H,H,L,EL,L,H,EH,H,H,EH,H,H,H,M,EL,H,M,EH,H,M,EH,H,M,EH,EL,L,M,M,L,H,L,EH,EH,H,M,H,M,H,L,EH,EH,EL,M,M,EH,M,M,M,L,M,M,M,M,L,M,EH,EH,EH,M,M,H,L,H,L,EH,H,H,H,M,M,L,M,EL,H,M,L
H,H,H,H,L,M,EH,H,M,H,L,L,EH,EL,L,H,H,H,EH,H,H,EH,EH,EH,EH,EH,L,EH,EL,H,M,M,H,H,H,EH,H,M,L,H,M,M,H,H,EH,H,H,EH,M,EL,M,M,L,EH,L,EH,H,H,H,L,L,M,L,EH,EH,EH,H,M,EH,EH,M,EH,EH,L,M,EH,EH,H,EH,EH,EH,H,M,EH,EH,H,H,M,EH,EH,H,EH,EL,L,H,L,L,H,L,L
M,H,H,H,H,H,L,H,L,M,EL,EH,H,L,M,H,H,H,M,H,H,L,EL,H,EH,L,EL,L,L,H,EH,H,M,M,M,L,H,L,EL,H,EL,EH,M,H,EH,M,H,H,EL,L,L,EH,M,H,EL,EH,M,H,M,L,EL,EL,L,H,EH,M,EH,L,EH,M,M,H,H,L,M,L,M,EH,M,EH,H,H,EH,L,H,M,M,L,H,EL,H,H,M,H,M,M,L,H,EL,L
H,M,H,EH,H,L,H,H,H,H,L,EH,EH,M,EH,H,H,H,H,H,M,H,H,M,M,EH,L,EH,M,H,EH,M,H,H,H,H,H,M,L,H,M,EH,EH,EH,H,EL,L,EH,M,M,M,H,L,H,L,EH,EH,H,EH,H,L,M,M,EH,EH,H,EH,M,EH,EH,M,M,H,H,H,EH,H,EH,H,EH,EH,H,M,H,EH,H,EH,M,H,H,H,EH,L,H,M,M,L,EH,L,EH
